region_id,estimation_id,level_name,traffic,read_traffic,write_traffic,bandwidth,read_bandwidth,write_bandwidth,bandwidth_utilization,read_bandwidth_utilization,write_bandwidth_utilization,traffic_defined_time,traffic_defined_read_time,traffic_defined_write_time,bytes_ck,read_bytes_ck,write_bytes_ck
215,0,l3,66048.0,52992.0,13056.0,727246627.4081204,583488573.1530268,143758054.25509354,0.008417206335742134,0.006753339967048921,0.0016638663686932126,7.644444444444444e-07,6.133333333333333e-07,1.5111111111111112e-07,0.5387012054874966,0.4322137578911309,0.1064874475963656
215,0,gti,15023.0,15023.0,0.0,165416455.9646347,165416455.9646347,0.0,0.0009572711572027471,0.0019145423144054942,0.0,1.7387731481481482e-07,1.7387731481481482e-07,0.0,0.12253070812195162,0.12253070812195162,0.0
215,0,llc,15023.0,15023.0,0.0,165416455.9646347,165416455.9646347,0.0,0.0009572711572027471,0.0019145423144054942,0.0,1.7387731481481482e-07,1.7387731481481482e-07,0.0,0.12253070812195162,0.12253070812195162,0.0
215,0,dram,15023.0,15023.0,0.0,165416455.9646347,165416455.9646347,0.0,0.0034461761659298896,0.0034461761659298896,0.0,3.129791666666667e-07,3.129791666666667e-07,0.0,0.12253070812195162,0.12253070812195162,0.0
369,0,l3,61248.0,48896.0,12352.0,704335826.3625058,562291088.1305689,142044738.2319369,0.008152035027343817,0.006507998705214917,0.0016440363221288993,7.088888888888889e-07,5.659259259259259e-07,1.4296296296296296e-07,0.5217302417500043,0.4165119171337547,0.10521832461624955
369,0,gti,12975.0,12975.0,0.0,149209073.7175665,149209073.7175665,0.0,0.0008634784358655468,0.0017269568717310935,0.0,1.501736111111111e-07,1.501736111111111e-07,0.0,0.11052523979078999,0.11052523979078999,0.0
369,0,llc,12975.0,12975.0,0.0,149209073.7175665,149209073.7175665,0.0,0.0008634784358655468,0.0017269568717310935,0.0,1.501736111111111e-07,1.501736111111111e-07,0.0,0.11052523979078999,0.11052523979078999,0.0
369,0,dram,12975.0,12975.0,0.0,149209073.7175665,149209073.7175665,0.0,0.0031085223691159685,0.0031085223691159685,0.0,2.703125e-07,2.703125e-07,0.0,0.11052523979078999,0.11052523979078999,0.0
370,0,l3,59776.0,47488.0,12288.0,687162369.2905072,545904152.0487754,141258217.24173167,0.007953268163084573,0.006318335093157124,0.0016349330699274498,6.918518518518519e-07,5.496296296296297e-07,1.4222222222222222e-07,0.5090091624374127,0.40437344596205593,0.10463571647535679
370,0,gti,12975.0,12975.0,0.0,149155710.34435776,149155710.34435776,0.0,0.0008631696200483667,0.0017263392400967334,0.0,1.501736111111111e-07,1.501736111111111e-07,0.0,0.11048571136619095,0.11048571136619095,0.0
370,0,llc,12975.0,12975.0,0.0,149155710.34435776,149155710.34435776,0.0,0.0008631696200483667,0.0017263392400967334,0.0,1.501736111111111e-07,1.501736111111111e-07,0.0,0.11048571136619095,0.11048571136619095,0.0
370,0,dram,12975.0,12975.0,0.0,149155710.34435776,149155710.34435776,0.0,0.0031074106321741205,0.0031074106321741205,0.0,2.703125e-07,2.703125e-07,0.0,0.11048571136619095,0.11048571136619095,0.0
371,0,l3,59776.0,47488.0,12288.0,739978359.3449116,587862893.6123388,152115465.73257282,0.008564564344269809,0.006803968676068736,0.0017605956682010743,6.918518518518519e-07,5.496296296296297e-07,1.4222222222222222e-07,0.5481321180332679,0.43545399526839906,0.11267812276486877
371,0,gti,12975.0,12975.0,0.0,160619968.08920348,160619968.08920348,0.0,0.0009295137042199276,0.0018590274084398551,0.0,1.501736111111111e-07,1.501736111111111e-07,0.0,0.11897775414015073,0.11897775414015073,0.0
371,0,llc,12975.0,12975.0,0.0,160619968.08920348,160619968.08920348,0.0,0.0009295137042199276,0.0018590274084398551,0.0,1.501736111111111e-07,1.501736111111111e-07,0.0,0.11897775414015073,0.11897775414015073,0.0
371,0,dram,12975.0,12975.0,0.0,160619968.08920348,160619968.08920348,0.0,0.0033462493351917393,0.0033462493351917393,0.0,2.703125e-07,2.703125e-07,0.0,0.11897775414015073,0.11897775414015073,0.0
372,0,l3,59776.0,47488.0,12288.0,727844721.8414025,578223537.0517353,149621184.78966734,0.008424128725016234,0.006692402049209899,0.001731726675806335,6.918518518518519e-07,5.496296296296297e-07,1.4222222222222222e-07,0.539144238401039,0.42831373114943355,0.11083050725160544
372,0,gti,12975.0,12975.0,0.0,157986236.38069123,157986236.38069123,0.0,0.0009142722012771482,0.0018285444025542964,0.0,1.501736111111111e-07,1.501736111111111e-07,0.0,0.11702684176347498,0.11702684176347498,0.0
372,0,llc,12975.0,12975.0,0.0,157986236.38069123,157986236.38069123,0.0,0.0009142722012771482,0.0018285444025542964,0.0,1.501736111111111e-07,1.501736111111111e-07,0.0,0.11702684176347498,0.11702684176347498,0.0
372,0,dram,12975.0,12975.0,0.0,157986236.38069123,157986236.38069123,0.0,0.003291379924597734,0.003291379924597734,0.0,2.703125e-07,2.703125e-07,0.0,0.11702684176347498,0.11702684176347498,0.0
216,0,l3,57280.0,45120.0,12160.0,715933709.8416814,563947782.6127211,151985927.22896028,0.008286269789834275,0.006527173409869457,0.001759096379964818,6.62962962962963e-07,5.222222222222223e-07,1.4074074074074073e-07,0.5303212665493936,0.41773909823164523,0.11258216831774835
216,0,gti,12975.0,12975.0,0.0,162172484.02925655,162172484.02925655,0.0,0.000938498171465605,0.00187699634293121,0.0,1.501736111111111e-07,1.501736111111111e-07,0.0,0.12012776594759744,0.12012776594759744,0.0
216,0,llc,12975.0,12975.0,0.0,162172484.02925655,162172484.02925655,0.0,0.000938498171465605,0.00187699634293121,0.0,1.501736111111111e-07,1.501736111111111e-07,0.0,0.12012776594759744,0.12012776594759744,0.0
216,0,dram,12975.0,12975.0,0.0,162172484.02925655,162172484.02925655,0.0,0.003378593417276178,0.003378593417276178,0.0,2.703125e-07,2.703125e-07,0.0,0.12012776594759744,0.12012776594759744,0.0
224,0,l3,1408.0,1280.0,128.0,450682852.80728376,409711684.370258,40971168.43702579,0.0052162367223065245,0.004742033383915023,0.00047420333839150224,1.6296296296296295e-08,1.4814814814814814e-08,1.4814814814814814e-09,0.33383915022761756,0.30349013657056145,0.030349013657056143
224,0,gti,2048.0,2048.0,0.0,655538694.9924127,655538694.9924127,0.0,0.003793626707132018,0.007587253414264036,0.0,2.3703703703703703e-08,2.3703703703703703e-08,0.0,0.4855842185128983,0.4855842185128983,0.0
224,0,llc,2048.0,2048.0,0.0,655538694.9924127,655538694.9924127,0.0,0.003793626707132018,0.007587253414264036,0.0,2.3703703703703703e-08,2.3703703703703703e-08,0.0,0.4855842185128983,0.4855842185128983,0.0
224,0,dram,2048.0,2048.0,0.0,655538694.9924127,655538694.9924127,0.0,0.013657056145675264,0.013657056145675264,0.0,4.2666666666666665e-08,4.2666666666666665e-08,0.0,0.4855842185128983,0.4855842185128983,0.0
171,0,l3,2651442.0,2146662.0,504780.0,636702916.6123769,515487782.2637487,121215134.34862827,0.007369246720050658,0.005966293776200795,0.0014029529438498642,3.068798611111111e-05,2.4845625e-05,5.8423611111111115e-06,0.4716317900832422,0.3818428016768509,0.08978898840639131
171,0,gti,780564.0,780564.0,0.0,187440409.93641323,187440409.93641323,0.0,0.0010847245945394286,0.002169449189078857,0.0,9.034305555555555e-06,9.034305555555555e-06,0.0,0.13884474810104686,0.13884474810104686,0.0
171,0,llc,780564.0,780564.0,0.0,187440409.93641323,187440409.93641323,0.0,0.0010847245945394286,0.002169449189078857,0.0,9.034305555555555e-06,9.034305555555555e-06,0.0,0.13884474810104686,0.13884474810104686,0.0
171,0,dram,780564.0,780564.0,0.0,187440409.93641323,187440409.93641323,0.0,0.003905008540341943,0.003905008540341943,0.0,1.626175e-05,1.626175e-05,0.0,0.13884474810104686,0.13884474810104686,0.0
352,0,l3,2541632.0,2079104.0,462528.0,610333738.1528047,499264770.16674674,111068967.98605795,0.007064047895287092,0.005778527432485495,0.0012855204628015968,2.941703703703704e-05,2.4063703703703703e-05,5.3533333333333335e-06,0.4520990652983739,0.36982575567907167,0.0822733096193022
