region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
174,0,int32,0.0,0,0.0
174,0,int64,0.0,0,0.0
174,0,float32,0.0,0,0.0
174,0,float64,0.0,0,0.0
344,0,int32,0.0,0,0.0
344,0,int64,0.0,0,0.0
344,0,float32,0.0,0,0.0
344,0,float64,0.0,0,0.0
172,0,int32,0.0,0,0.0
172,0,int64,0.0,0,0.0
172,0,float32,0.0,0,0.0
172,0,float64,0.0,0,0.0
49,0,int32,352363143.9298274,1461259.0,1.9094585730078377
49,0,int64,0.0,0,0.0
49,0,float32,5305.00696074837,22.0,2.8747873310735764e-05
49,0,float64,2411.3668003401685,10.000000000000002,1.306721514124353e-05
39,0,int32,94043.30521326656,390.0,0.0005096213905084976
39,0,int64,0.0,0,0.0
39,0,float32,0.0,0,0.0
39,0,float64,0.0,0,0.0
295,0,int32,93319.8951731645,387.0,0.0005057012259661245
295,0,int64,0.0,0,0.0
295,0,float32,0.0,0,0.0
295,0,float64,0.0,0,0.0
296,0,int32,61730.990088708306,256.0,0.00033452070761583435
296,0,int64,0.0,0,0.0
296,0,float32,0.0,0,0.0
296,0,float64,0.0,0,0.0
40,0,int32,46298.242566531226,192.0,0.00025089053071187574
40,0,int64,0.0,0,0.0
40,0,float32,0.0,0,0.0
40,0,float64,0.0,0,0.0
41,0,int32,46298.242566531226,192.0,0.00025089053071187574
41,0,int64,0.0,0,0.0
41,0,float32,0.0,0,0.0
41,0,float64,0.0,0,0.0
42,0,int32,0.0,0,0.0
42,0,int64,0.0,0,0.0
42,0,float32,0.0,0,0.0
42,0,float64,0.0,0,0.0
310,0,int32,350222573.6211654,1452382.0,1.897858806126956
310,0,int64,0.0,0,0.0
310,0,float32,0.0,0,0.0
310,0,float64,0.0,0,0.0
311,0,int32,350222091.3478053,1452380.0,1.8978561926839277
311,0,int64,0.0,0,0.0
311,0,float32,0.0,0,0.0
311,0,float64,0.0,0,0.0
50,0,int32,350222091.3478053,1452380.0,1.8978561926839277
50,0,int64,0.0,0,0.0
50,0,float32,0.0,0,0.0
50,0,float64,0.0,0,0.0
51,0,int32,350222091.3478053,1452380.0,1.8978561926839277
51,0,int64,0.0,0,0.0
51,0,float32,0.0,0,0.0
51,0,float64,0.0,0,0.0
52,0,int32,350217992.0242448,1452363.0,1.8978339784181875
52,0,int64,0.0,0,0.0
52,0,float32,0.0,0,0.0
52,0,float64,0.0,0,0.0
53,0,int32,350213651.5640042,1452345.0,1.8978104574309331
53,0,int64,0.0,0,0.0
53,0,float32,0.0,0,0.0
53,0,float64,0.0,0,0.0
237,0,int32,350209311.1037635,1452327.0,1.897786936443679
237,0,int64,0.0,0,0.0
237,0,float32,0.0,0,0.0
237,0,float64,0.0,0,0.0
58,0,int32,350207864.28368336,1452321.0,1.8977790961145942
58,0,int64,0.0,0,0.0
58,0,float32,0.0,0,0.0
58,0,float64,0.0,0,0.0
302,0,int32,2046527.0034487008,8487.0,0.011090145490373383
302,0,int64,0.0,0,0.0
302,0,float32,5305.00696074837,22.0,2.8747873310735764e-05
302,0,float64,2411.3668003401685,10.000000000000002,1.306721514124353e-05
303,0,int32,71617.593970103,297.0,0.0003880962896949328
303,0,int64,0.0,0,0.0
303,0,float32,5305.00696074837,22.0,2.8747873310735764e-05
303,0,float64,2411.3668003401685,10.000000000000002,1.306721514124353e-05
304,0,int32,0.0,0,0.0
304,0,int64,0.0,0,0.0
304,0,float32,0.0,0,0.0
304,0,float64,0.0,0,0.0
45,0,int32,0.0,0,0.0
45,0,int64,0.0,0,0.0
45,0,float32,0.0,0,0.0
45,0,float64,0.0,0,0.0
283,0,int32,1956824.1584760465,8115.0,0.010604045087119124
283,0,int64,0.0,0,0.0
283,0,float32,0.0,0,0.0
283,0,float64,0.0,0,0.0
284,0,int32,1167342.6680446754,4841.0,0.006325838849875992
284,0,int64,0.0,0,0.0
284,0,float32,0.0,0,0.0
284,0,float64,0.0,0,0.0
30,0,int32,410414.6294178966,1702.0,0.0022240400170396484
30,0,int64,0.0,0,0.0
30,0,float32,0.0,0,0.0
30,0,float64,0.0,0,0.0
290,0,int32,394017.3351755835,1634.0,0.0021351829540791926
290,0,int64,0.0,0,0.0
290,0,float32,0.0,0,0.0
290,0,float64,0.0,0,0.0
291,0,int32,393535.06181551545,1632.0,0.0021325695110509437
291,0,int64,0.0,0,0.0
291,0,float32,0.0,0,0.0
291,0,float64,0.0,0,0.0
292,0,int32,283576.7357200038,1176.0,0.0015367045006102389
292,0,int64,0.0,0,0.0
292,0,float32,0.0,0,0.0
292,0,float64,0.0,0,0.0
293,0,int32,173618.4096244921,720.0,0.000940839490169534
293,0,int64,0.0,0,0.0
293,0,float32,0.0,0,0.0
293,0,float64,0.0,0,0.0
31,0,int32,71376.45729006898,296.0,0.00038678956818080846
31,0,int64,0.0,0,0.0
31,0,float32,0.0,0,0.0
31,0,float64,0.0,0,0.0
27,0,int32,723.4100401020504,3.0,3.920164542373058e-06
27,0,int64,0.0,0,0.0
27,0,float32,0.0,0,0.0
27,0,float64,0.0,0,0.0
69,0,int32,4051166662.5456004,96115713.0,140725.78770131772
69,0,int64,0.0,0,0.0
69,0,float32,32354059847.874306,767614317.0,1123886.2620790629
69,0,float64,24263837615.170074,575670232.0,842855.3909224012
246,0,int32,4046951777.6572723,96015713.0,140579.3748169839
246,0,int64,0.0,0,0.0
246,0,float32,32354059847.874306,767614317.0,1123886.2620790629
246,0,float64,24263837615.170074,575670232.0,842855.3909224012
70,0,int32,4042736892.7689447,95915713.0,140432.96193265007
70,0,int64,0.0,0,0.0
70,0,float32,32346163640.375664,767426976.0,1123611.9707174231
70,0,float64,24259622730.28175,575570232.0,842708.9780380673
109,0,int32,0.0,0,0.0
109,0,int64,0.0,0,0.0
109,0,float32,0.0,0,0.0
109,0,float64,0.0,0,0.0
110,0,int32,0.0,0,0.0
110,0,int64,0.0,0,0.0
110,0,float32,0.0,0,0.0
110,0,float64,0.0,0,0.0
90,0,int32,0.0,0,0.0
90,0,int64,0.0,0,0.0
90,0,float32,0.0,0,0.0
90,0,float64,4043270455.046958,95928372.0,140451.4963396779
71,0,int32,0.0,0,0.0
71,0,int64,0.0,0,0.0
71,0,float32,0.0,0,0.0
71,0,float64,4043270455.046958,95928372.0,140451.4963396779
