estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
513,340,16,"(227,)","(64,)",15,1.8462541322222223,0.33583152182506293,"Launch_Tax, Latencies, L3_BW"
514,340,16,"(227,)","(128,)",15,1.8488542096296299,0.3353592358286633,"Launch_Tax, Latencies, L3_BW"
515,340,16,"(227,)","(256,)",15,1.8540543644444445,0.33441863776512726,"Launch_Tax, Latencies, L3_BW"
516,340,32,"(227,)","(8,)",29,1.815802195308642,0.3414635892069785,"Launch_Tax, Latencies, L3_BW"
517,340,32,"(227,)","(16,)",15,1.8453874397530865,0.33598924623815596,"Launch_Tax, Latencies, L3_BW"
518,340,32,"(227,)","(32,)",8,1.8453874397530865,0.33598924623815596,"Launch_Tax, Latencies, L3_BW"
519,340,32,"(227,)","(64,)",8,1.8462541322222223,0.33583152182506293,"Launch_Tax, Latencies, L3_BW"
520,340,32,"(227,)","(128,)",8,1.8488542096296299,0.3353592358286633,"Launch_Tax, Latencies, L3_BW"
521,340,32,"(227,)","(256,)",8,1.8540543644444445,0.33441863776512726,"Launch_Tax, Latencies, L3_BW"
522,340,8,"(227,)","(8,)",29,1.815802195308642,0.3414635892069785,"Launch_Tax, Latencies, L3_BW"
523,340,8,"(227,)","(16,)",29,1.815802195308642,0.3414635892069785,"Launch_Tax, Latencies, L3_BW"
524,340,8,"(227,)","(32,)",29,1.815802195308642,0.3414635892069785,"Launch_Tax, Latencies, L3_BW"
525,340,8,"(227,)","(64,)",29,1.816668887777778,0.341300684495371,"Launch_Tax, Latencies, L3_BW"
526,340,8,"(227,)","(128,)",29,1.8192689651851852,0.34081290164639644,"Launch_Tax, Latencies, L3_BW"
527,340,8,"(227,)","(256,)",29,1.82446912,0.3398415068269283,"Launch_Tax, Latencies, L3_BW"
528,340,16,"(227,)","(8,)",29,1.815802195308642,0.3414635892069785,"Launch_Tax, Latencies, L3_BW"
529,340,16,"(227,)","(16,)",15,1.8453874397530865,0.33598924623815596,"Launch_Tax, Latencies, L3_BW"
530,340,16,"(227,)","(32,)",15,1.8453874397530865,0.33598924623815596,"Launch_Tax, Latencies, L3_BW"
531,340,16,"(227,)","(64,)",15,1.8462541322222223,0.33583152182506293,"Launch_Tax, Latencies, L3_BW"
532,340,16,"(227,)","(128,)",15,1.8488542096296299,0.3353592358286633,"Launch_Tax, Latencies, L3_BW"
533,340,16,"(227,)","(256,)",15,1.8540543644444445,0.33441863776512726,"Launch_Tax, Latencies, L3_BW"
534,340,32,"(227,)","(8,)",29,1.815802195308642,0.3414635892069785,"Launch_Tax, Latencies, L3_BW"
535,340,32,"(227,)","(16,)",15,1.8453874397530865,0.33598924623815596,"Launch_Tax, Latencies, L3_BW"
536,340,32,"(227,)","(32,)",8,1.8453874397530865,0.33598924623815596,"Launch_Tax, Latencies, L3_BW"
537,340,32,"(227,)","(64,)",8,1.8462541322222223,0.33583152182506293,"Launch_Tax, Latencies, L3_BW"
538,340,32,"(227,)","(128,)",8,1.8488542096296299,0.3353592358286633,"Launch_Tax, Latencies, L3_BW"
539,340,32,"(227,)","(256,)",8,1.8540543644444445,0.33441863776512726,"Launch_Tax, Latencies, L3_BW"
