region_id,estimation_id,instruction_name,count_per_iteration,count_total,impact
109,0,Mov,0,,
303,0,SQRT,815.56499,,
303,0,FMA,0,,
303,0,Add,0,,
303,0,Mul,0,,
303,0,Sub,0,,
303,0,ABS,0,,
303,0,DIV,0,,
303,0,MIN,0,,
303,0,MAX,0,,
303,0,SAD,0,,
303,0,SCALE,0,,
303,0,SIGN,0,,
303,0,RECCP,0,,
303,0,Mov,0,,
303,0,Send,0,,
19,0,LOG,815.56499,,
19,0,FMA,0,,
19,0,Add,0,,
19,0,Mul,0,,
19,0,Sub,0,,
19,0,ABS,0,,
19,0,DIV,0,,
19,0,MIN,0,,
19,0,MAX,0,,
19,0,SQRT,0,,
19,0,SAD,0,,
19,0,SCALE,0,,
19,0,SIGN,0,,
19,0,RECCP,0,,
19,0,Mov,0,,
19,0,Send,0,,
8,0,Add,6227.323539999999,,
8,0,FCOM,3708.01384,,
8,0,Send,86793.35812,,
8,0,Mul,4153.76772,,
8,0,Sub,7269.093510000001,,
8,0,FDIV,1038.44193,,
8,0,FMA,0,,
8,0,ABS,0,,
8,0,DIV,0,,
8,0,MIN,0,,
8,0,MAX,0,,
8,0,SQRT,0,,
8,0,SAD,0,,
8,0,SCALE,0,,
8,0,SIGN,0,,
8,0,RECCP,0,,
8,0,Mov,0,,
9,0,Send,75816.25077,,
9,0,Sub,5192.20965,,
9,0,FDIV,1038.44193,,
9,0,FCOM,1038.44193,,
9,0,Add,3111.99775,,
9,0,Mul,2076.88386,,
9,0,FMA,0,,
9,0,ABS,0,,
9,0,DIV,0,,
9,0,MIN,0,,
9,0,MAX,0,,
9,0,SQRT,0,,
9,0,SAD,0,,
9,0,SCALE,0,,
9,0,SIGN,0,,
9,0,RECCP,0,,
9,0,Mov,0,,
355,0,FDIV,1038.44193,,
355,0,Send,72700.92498,,
355,0,FCOM,1038.44193,,
355,0,Sub,4153.76772,,
355,0,Add,3111.99775,,
355,0,Mul,2076.88386,,
355,0,FMA,0,,
355,0,ABS,0,,
355,0,DIV,0,,
355,0,MIN,0,,
355,0,MAX,0,,
355,0,SQRT,0,,
355,0,SAD,0,,
355,0,SCALE,0,,
355,0,SIGN,0,,
355,0,RECCP,0,,
355,0,Mov,0,,
10,0,Add,3111.99775,,
10,0,Send,57124.29597,,
10,0,Mul,2076.88386,,
10,0,Sub,3115.32579,,
10,0,FMA,0,,
10,0,ABS,0,,
10,0,DIV,0,,
10,0,MIN,0,,
10,0,MAX,0,,
10,0,SQRT,0,,
10,0,SAD,0,,
10,0,SCALE,0,,
10,0,SIGN,0,,
10,0,RECCP,0,,
10,0,Mov,0,,
269,0,FMA,0,,
269,0,Add,0,,
269,0,Mul,0,,
269,0,Sub,0,,
269,0,ABS,0,,
269,0,DIV,0,,
269,0,MIN,0,,
269,0,MAX,0,,
269,0,SQRT,0,,
269,0,SAD,0,,
269,0,SCALE,0,,
269,0,SIGN,0,,
269,0,RECCP,0,,
269,0,Mov,0,,
269,0,Send,0,,
11,0,Send,48816.76053,,
11,0,Sub,1038.44193,,
11,0,Add,2073.55582,,
11,0,FMA,0,,
11,0,Mul,0,,
11,0,ABS,0,,
11,0,DIV,0,,
11,0,MIN,0,,
11,0,MAX,0,,
11,0,SQRT,0,,
11,0,SAD,0,,
11,0,SCALE,0,,
11,0,SIGN,0,,
11,0,RECCP,0,,
11,0,Mov,0,,
370,0,Send,33236.80324,,
370,0,Add,2073.55582,,
370,0,FMA,0,,
370,0,Mul,0,,
370,0,Sub,0,,
370,0,ABS,0,,
370,0,DIV,0,,
370,0,MIN,0,,
370,0,MAX,0,,
370,0,SQRT,0,,
370,0,SAD,0,,
370,0,SCALE,0,,
370,0,SIGN,0,,
370,0,RECCP,0,,
370,0,Mov,0,,
340,0,Add,755.53318,,
340,0,Send,12088.53088,,
340,0,FMA,0,,
340,0,Mul,0,,
340,0,Sub,0,,
340,0,ABS,0,,
340,0,DIV,0,,
340,0,MIN,0,,
340,0,MAX,0,,
340,0,SQRT,0,,
340,0,SAD,0,,
340,0,SCALE,0,,
340,0,SIGN,0,,
340,0,RECCP,0,,
340,0,Mov,0,,
349,0,Add,1318.02264,,
349,0,Send,21088.36224,,
349,0,FMA,0,,
349,0,Mul,0,,
349,0,Sub,0,,
349,0,ABS,0,,
349,0,DIV,0,,
349,0,MIN,0,,
349,0,MAX,0,,
349,0,SQRT,0,,
349,0,SAD,0,,
349,0,SCALE,0,,
349,0,SIGN,0,,
349,0,RECCP,0,,
349,0,Mov,0,,
